id,player name,player names
0a12e736,TMJ Smith,"['TMJ Smith', 'T SMith', 'Smith']"
50276fee,PJ Grieshaber,['PJ Grieshaber']
7c7d63a2,AJ Tye,"['AJ Tye', 'Andrew Tye', 'A Tye', 'Tye']"
01a95383,MD Taylor,"['MD Taylor', 'M Taylor']"
e798611a,HM Amla,"['HM Amla', 'Hashim Amla', 'H Amla']"
372455c4,Q de Kock,"['Q de Kock', 'Quinton de Kock']"
3355b542,F du Plessis,"['F du Plessis', 'Faf du Plessis']"
c4487b84,AB de Villiers,['AB de Villiers']
dce2019b,F Behardien,['F Behardien']
2e8994e7,JP Duminy,"['JP Duminy', 'Jean-Paul Duminy']"
fb66ce1f,CH Morris,"['CH Morris', 'C Morris', 'Chris Morris']"
3a60e0b5,WD Parnell,"['WD Parnell', 'W Parnell', 'Parnell', 'Wayne Parnell']"
e62dd25d,K Rabada,"['K Rabada', 'Kagiso Rabada', 'Rabada']"
5bb5a915,M Morkel,"['M Morkel', 'Morne Morkel']"
acee4cc4,Imran Tahir,"['Imran Tahir', 'I Tahir']"
09a9d073,J Charles,['J Charles']
1bae756b,ADS Fletcher,"['ADS Fletcher', 'A Fletcher', 'Andre Fletcher']"
14b14cd8,DM Bravo,"['DM Bravo', 'Darren Bravo']"
f846de6a,MN Samuels,"['MN Samuels', 'Marlon Samuels', 'M Samuels']"
d1523761,D Ramdin,"['D Ramdin', 'Denesh Ramdin']"
a757b0d8,KA Pollard,"['KA Pollard', 'K Pollard']"
0f721006,JO Holder,"['JO Holder', 'Jason Holder', 'J Holder']"
e342e5fb,CR Brathwaite,"['CR Brathwaite', 'Carlos Brathwaite', 'C Brathwaite']"
9d430b40,SP Narine,"['SP Narine', 'Sunil Narine', 'S Narine']"
364ee2cf,SJ Benn,"['SJ Benn', 'Sulieman Benn', 'S Benn']"
d9609443,ST Gabriel,"['ST Gabriel', 'Shannon Gabriel', 'Gabriel', 'S Gabriel']"
50930025,Afsar Zazai,"['Afsar Zazai', 'A Zazai']"
f9c29fcd,Rahmat Shah,"['Rahmat Shah', 'R Shah']"
62af8546,Mohammad Nabi,"['Mohammad Nabi', 'M Nabi']"
5f547c8b,Rashid Khan,"['Rashid Khan', 'R Khan']"
9f77963a,Gulbadin Naib,"['Gulbadin Naib', 'Gulbadeen Naib', 'G Naib']"
7e678d00,Sharafuddin Ashraf,"['Sharafuddin Ashraf', 'S Ashraf']"
7d92277a,Mujeeb Ur Rahman,"['Mujeeb Ur Rahman', 'Mujeeb Zadran', 'M Ur Rahman']"
